date,open,high,low,close,漲跌,漲跌,振幅,張數,筆數,均張,volume,外資,投信,自營,合計
2023/7/10,567,573,565,565,0,0,1.42,"18,996","17,792",1.07,108,-327,-67,-775,"-1,169"
2023/7/7,565,572,563,565,0,0,1.59,"19,859","21,855",0.91,112,"-3,669",-185,-100,"-3,955"
2023/7/6,573,574,565,565,-17,-2.92,1.55,"32,070","60,108",0.53,182,"-16,294",-574,-603,"-17,470"
2023/7/5,589,589,579,582,-3,-0.51,1.71,"15,554","16,504",0.94,90.6,-840,-503,"-1,092","-2,436"
2023/7/4,585,585,580,585,6,1.04,0.86,"17,777","18,848",0.94,104,"4,795","-1,347",-13.1,"3,435"
2023/7/3,578,580,576,579,3,0.52,0.69,"15,118","15,659",0.97,87.4,"2,359",-305,"1,401","3,455"
2023/6/30,570,576,568,576,3,0.52,1.4,"33,831","20,529",1.65,194,"-2,616",-607,649,"-2,574"
2023/6/29,578,580,570,573,-1,-0.17,1.74,"18,046","17,649",1.02,104,-915,-121,"1,407",371
2023/6/28,579,579,571,574,2,0.35,1.4,"18,685","15,939",1.17,107,"-3,672",-93.5,378,"-3,387"
2023/6/27,570,575,569,572,-2,-0.35,1.05,"22,447","20,736",1.08,128,"-5,350","-2,006",501,"-6,854"
2023/6/26,576,578,574,574,-7,-1.2,0.69,"29,870","28,167",1.06,172,"-5,694",-3,314,"-5,383"
2023/6/21,582,585,578,581,-2,-0.34,1.2,"23,719","25,132",0.94,138,"1,031",-692,590,928
2023/6/20,579,585,579,583,0,0,1.03,"17,013","17,658",0.96,99,"1,296",-764,-206,326
2023/6/19,583,585,582,583,-6,-1.02,0.51,"14,883","18,979",0.78,86.8,"-1,693",112,-296,"-1,877"
2023/6/16,590,590,584,589,-2,-0.34,1.02,"41,560","27,450",1.51,244,"6,401","-1,805",235,"4,831"
2023/6/15,590,593,587,591,4,0.68,1.02,"29,869","28,303",1.06,176,"7,471",-555,35.9,"6,953"
2023/6/14,590,591,587,590,-3,-0.51,0.67,"25,982","28,171",0.92,153,"1,726",-72.3,512,"2,166"
2023/6/13,593,594,589,593,19,3.31,0.87,"62,672","84,903",0.74,371,"34,284",-118,"1,393","35,559"
2023/6/12,574,574,571,574,9,1.59,0.53,"28,657","38,130",0.75,164,"14,442",429,113,"14,983"
2023/6/9,561,566,561,565,6,1.07,0.89,"19,776","16,713",1.18,112,"5,015",-106,427,"5,337"
2023/6/8,562,568,555,559,-9,-1.58,2.29,"25,251","27,238",0.93,142,"-3,260",-233,-272,"-3,765"
2023/6/7,561,568,560,568,8,1.43,1.43,"29,092","29,548",0.98,164,"7,436","1,451",339,"9,226"
2023/6/6,554,562,553,560,5,0.9,1.62,"21,562","15,551",1.39,120,"3,149",-342,393,"3,200"
2023/6/5,560,560,555,555,-7,-1.25,0.89,"17,484","20,211",0.87,97.3,"-2,493",-300,-245,"-3,038"
2023/6/2,559,564,557,562,11,2,1.27,"34,705","30,644",1.13,195,"8,372",167,37,"8,576"
2023/6/1,550,554,550,551,-7,-1.25,0.72,"25,258","25,441",0.99,139,"-2,903",142,295,"-2,467"
2023/5/31,560,562,551,558,-8,-1.41,1.94,"90,676","39,679",2.29,506,"7,889",-224,"2,533","10,198"
2023/5/30,566,568,563,566,-2,-0.35,0.88,"47,491","32,956",1.44,269,"11,458",-401,62,"11,119"
2023/5/29,574,574,564,568,2,0.35,1.77,"58,814","52,250",1.13,335,"20,510",-188,78.8,"20,401"
2023/5/26,568,568,563,566,23,4.24,0.92,"104,925","131,612",0.8,593,"69,215",-814,587,"68,988"
2023/5/25,542,545,537,543,18,3.43,1.52,"68,361","80,930",0.84,370,"42,423",89,"1,735","44,247"
2023/5/24,527,528,524,525,-5,-0.94,0.75,"22,621","16,339",1.38,119,-611,239,"1,578","1,206"
2023/5/23,530,531,525,530,-1,-0.19,1.13,"20,127","15,826",1.27,106,"5,900",-367,714,"6,247"
2023/5/22,532,533,529,531,-1,-0.19,0.75,"19,038","18,796",1.01,101,"6,069",-161,123,"6,031"
2023/5/19,535,535,529,532,2,0.38,1.13,"34,743","39,104",0.89,185,"17,952",-95,"1,996","19,853"
2023/5/18,533,536,526,530,11,2.12,1.93,"46,108","50,359",0.92,244,"18,851","-2,179","4,958","21,630"
2023/5/17,508,521,506,519,14,2.77,2.97,"44,352","52,663",0.84,229,"16,087",20.3,"11,898","28,006"
2023/5/16,503,508,500,505,9.5,1.92,1.61,"24,053","22,355",1.08,121,"2,405",-324,"4,428","6,509"
2023/5/15,497,499.5,494.5,495.5,-0.5,-0.1,1.01,"15,548","16,896",0.92,77.2,"-2,528",192,"1,060","-1,275"
2023/5/12,496,500,495,496,-3,-0.6,1,"20,747","27,989",0.74,103,"-7,035",93,"1,002","-5,941"
2023/5/11,506,506,498.5,499,-4,-0.8,1.49,"13,775","20,237",0.68,69,"-2,763",-35.8,140,"-2,659"
2023/5/10,508,508,500,503,-7,-1.37,1.57,"19,386","26,320",0.74,97.5,"-7,066",-5.67,192,"-6,879"
2023/5/9,507,510,505,510,6,1.19,0.99,"18,763","17,452",1.08,95.3,"6,380",293,156,"6,830"
2023/5/8,509,509,502,504,4,0.8,1.4,"11,737","13,709",0.86,59.3,854,319,107,"1,280"
2023/5/5,500,502,498.5,500,2,0.4,0.7,"7,898","10,944",0.72,39.5,265,-152,415,528
2023/5/4,497,499.5,496,498,2,0.4,0.71,"13,700","14,801",0.93,68.2,"-1,635",37.5,347,"-1,251"
2023/5/3,496,498,495,496,-5,-1,0.6,"12,695","25,658",0.49,63.1,"-4,095",127,363,"-3,605"
2023/5/2,500,502,496.5,501,-1,-0.2,1.1,"17,142","18,247",0.94,85.7,"-2,159",388,"1,294",-477
2023/4/28,498.5,502,498,502,8.5,1.72,0.81,"38,813","23,746",1.63,194,-881,515,138,-228
2023/4/27,491,495,489,493.5,2,0.41,1.22,"34,149","47,699",0.72,168,"-6,968",-398,376,"-6,990"
2023/4/26,498,498.5,491,491.5,-6.5,-1.31,1.51,"33,175","58,580",0.57,164,"-9,077",403,"3,747","-4,927"
2023/4/25,504,505,498,498,-9,-1.78,1.38,"40,916","92,009",0.44,205,"-17,769",-150,-316,"-18,235"
2023/4/24,505,510,504,507,-4,-0.78,1.17,"17,580","31,635",0.56,89,"-3,147",-536,15.5,"-3,667"
2023/4/21,520,520,510,511,-2,-0.39,1.95,"25,440","22,738",1.12,131,156,-263,186,79.2
2023/4/20,512,516,510,513,3,0.59,1.18,"21,003","16,627",1.26,108,111,-524,408,-4.94
2023/4/19,517,518,509,510,-5,-0.97,1.75,"23,210","43,281",0.54,119,"-7,975","-1,198","2,393","-6,780"
2023/4/18,518,520,514,515,-5,-0.96,1.15,"15,687","17,087",0.92,81,"-1,670",-261,135,"-1,796"
2023/4/17,519,520,514,520,4,0.78,1.16,"17,896","17,444",1.03,92.6,"1,842",151,-182,"1,811"
2023/4/14,516,520,513,516,6,1.18,1.37,"21,175","19,962",1.06,109,"3,825",-169,304,"3,960"
2023/4/13,515,517,510,510,-10,-1.92,1.35,"27,501","64,834",0.42,141,"-9,290",-154,-203,"-9,646"
2023/4/12,523,524,517,520,-4,-0.76,1.34,"24,773","37,158",0.67,129,"-6,272",-538,342,"-6,468"
2023/4/11,522,527,522,524,-5,-0.95,0.95,"23,087","24,432",0.94,121,"-1,472","-1,225",635,"-2,062"
2023/4/10,533,533,528,529,-2,-0.38,0.94,"8,203","11,698",0.7,43.5,"1,224",-55.2,-78.6,"1,090"
2023/4/7,535,535,529,531,1,0.19,1.13,"11,114","10,285",1.08,59,"2,281",44,-94,"2,231"
2023/4/6,530,531,526,530,-3,-0.56,0.94,"26,707","19,144",1.4,141,"2,353",-29,-221,"2,103"
2023/3/31,538,538,532,533,-2,-0.37,1.12,"24,325","15,962",1.52,130,"3,830",-84.5,758,"4,503"
2023/3/30,536,537,531,535,5,0.94,1.13,"20,381","18,171",1.12,109,"5,724",-100,147,"5,771"
2023/3/29,533,533,525,530,5,0.95,1.52,"17,620","15,653",1.13,93.3,"4,817",83.8,-426,"4,474"
2023/3/28,525,530,524,525,-6,-1.13,1.13,"18,328","20,744",0.88,96.3,"-1,466",-93,-56.7,"-1,616"
2023/3/27,533,536,531,531,-8,-1.48,0.93,"17,171","17,484",0.98,91.5,"-1,238",-156,280,"-1,114"
2023/3/24,536,539,535,539,1,0.19,0.74,"22,964","24,762",0.93,123,"6,010","1,973",-154,"7,829"
2023/3/23,528,539,528,538,5,0.94,2.06,"28,615","35,313",0.81,153,"9,496",617,-586,"9,527"
2023/3/22,524,533,524,533,16,3.09,1.74,"45,681","56,483",0.81,242,"29,608",184,333,"30,125"
2023/3/21,515,517,512,517,5,0.98,0.98,"18,519","14,094",1.31,95.4,"2,380",222,90.6,"2,692"
2023/3/20,517,518,510,512,-6,-1.16,1.54,"12,752","17,709",0.72,65.4,"-1,744",11,56.9,"-1,676"
2023/3/17,516,518,513,518,13,2.57,0.99,"35,873","21,217",1.69,185,"8,563","-1,850",-50.5,"6,662"
2023/3/16,505,510,504,505,-3,-0.59,1.18,"23,326","33,493",0.7,118,"-5,726",171,312,"-5,243"
2023/3/15,515,516,510,511,1,0.2,1.18,"24,080","21,075",1.14,124,"-2,123",285,"-1,430","-3,268"
2023/3/14,511,514,510,510,-6,-1.16,0.78,"26,599","24,848",1.07,136,"-4,624",217,-54.7,"-4,462"
2023/3/13,513,518,509,516,3,0.58,1.75,"22,569","24,150",0.93,116,"1,478",62.5,492,"2,033"
2023/3/10,515,516,511,513,-9,-1.72,0.96,"25,572","46,216",0.55,131,"-8,138",158,-806,"-8,786"
2023/3/9,525,526,522,522,1,0.19,0.77,"25,639","16,497",1.55,134,-206,204,198,195
2023/3/8,521,523,518,521,-3,-0.57,0.95,"27,078","20,504",1.32,141,"-5,028",150,"1,669","-3,209"
2023/3/7,521,526,519,524,3,0.58,1.34,"27,650","20,595",1.34,145,77.2,"1,491",799,"2,366"
2023/3/6,520,524,517,521,5,0.97,1.36,"24,741","20,678",1.2,129,-62.6,944,"2,846","3,727"
2023/3/3,524,525,516,516,-3,-0.58,1.73,"24,117","22,160",1.09,125,"-5,792","1,069",-61.8,"-4,785"
2023/3/2,519,520,515,519,-3,-0.57,0.96,"18,017","14,320",1.26,93.4,154,110,-709,-444
2023/3/1,504,522,504,522,11,2.15,3.52,"45,971","31,738",1.45,236,"7,751",47.9,"-1,807","5,992"
2023/2/24,524,525,511,511,-7,-1.35,2.7,"48,372","29,612",1.63,249,710,343,-50.8,"1,002"
2023/2/23,512,521,510,518,11,2.17,2.17,"26,802","26,552",1.01,138,"5,032",-328,"1,226","5,930"
2023/2/22,506,509,505,507,-9,-1.74,0.78,"26,579","47,843",0.56,135,"-2,705",26.4,-854,"-3,532"
2023/2/21,515,517,513,516,-1,-0.19,0.77,"15,098","27,200",0.56,77.7,"-2,205",2.9,-308,"-2,510"
2023/2/20,514,519,511,517,-1,-0.19,1.54,"21,181","25,898",0.82,109,"-1,767",-455,-248,"-2,469"
2023/2/17,524,524,516,518,-10,-1.89,1.52,"29,673","55,965",0.53,154,"-9,078",3.91,-118,"-9,192"
2023/2/16,528,531,524,528,3,0.57,1.33,"33,510","27,033",1.24,177,"3,052",-355,944,"3,640"
2023/2/15,526,532,522,525,-20,-3.67,1.83,"66,069","103,433",0.64,348,"-7,966",444,"-1,263","-8,784"
2023/2/14,544,546,543,545,4,0.74,0.55,"23,856","27,983",0.85,130,"6,109","1,133",460,"7,702"
2023/2/13,544,544,538,541,-4,-0.73,1.1,"23,903","22,431",1.07,129,"-1,674",331,-917,"-2,260"
2023/2/10,544,546,541,545,5,0.93,0.93,"30,445","40,984",0.74,165,"14,193",-40.2,-359,"13,794"
2023/2/9,540,540,536,540,0,0,0.74,"22,311","19,698",1.13,120,"6,954",20.5,62,"7,037"
2023/2/8,538,540,534,540,17,3.25,1.15,"37,633","43,495",0.87,202,"19,455",301,593,"20,350"
2023/2/7,524,528,522,523,-3,-0.57,1.14,"24,362","28,519",0.85,128,"-2,730",223,305,"-2,201"
2023/2/6,532,533,526,526,-16,-2.95,1.29,"32,209","46,279",0.7,170,"-10,182",589,-283,"-9,876"
2023/2/3,540,542,536,542,2,0.37,1.11,"34,156","39,674",0.86,184,"16,057",-519,-153,"15,385"
