類別,住宅價格月指數,月變動率,季變動率,年變動率
全市,133.14,0.52%,1.33%,4.41%
大廈,139.43,0.52%,1.35%,5.25%
透天厝,126.32,0.45%,1.06%,3.18%
中西區,133.71,0.35%,1.54%,4.73%
安平區,138.78,0.95%,2.66%,7.24%
南區,131.51,0.76%,1.72%,2.99%
北區,131.42,0.47%,1.24%,2.99%
永康區,134.32,0.50%,1.04%,1.75%
安南區,131.51,0.72%,1.90%,5.95%
東區,134.29,1.30%,3.22%,6.69%
仁德區,131.73,-0.54%,-1.34%,0.87%
歸仁區,130.62,-0.87%,-1.98%,3.12%
南科區域,144.48,0.31%,0.80%,7.19%
善化區,149.27,0.29%,0.90%,7.21%
新市區,135.16,-0.04%,-0.26%,4.14%
佳里區,129.76,-0.68%,-1.77%,-0.10%
新營區,132.05,-0.05%,-0.19%,4.91%
