類別,住宅價格月指數,月變動率,季變動率,年變動率
全市,0,0.00%,0.00%,0.00%
大廈,0,0.00%,0.00%,0.00%
透天厝,0,0.00%,0.00%,0.00%
中西區,0,0.00%,0.00%,0.00%
安平區,0,0.00%,0.00%,0.00%
南區,0,0.00%,0.00%,0.00%
北區,0,0.00%,0.00%,0.00%
永康區,0,0.00%,0.00%,0.00%
安南區,0,0.00%,0.00%,0.00%
東區,0,0.00%,0.00%,0.00%
仁德區,0,0.00%,0.00%,0.00%
歸仁區,0,0.00%,0.00%,0.00%
南科區域,0,0.00%,0.00%,0.00%
善化區,0,0.00%,0.00%,0.00%
新市區,0,0.00%,0.00%,0.00%
佳里區,0,0.00%,0.00%,0.00%
新營區,0,0.00%,0.00%,0.00%
