類別,住宅價格月指數,月變動率,季變動率,年變動率
全市,136.28,0.52%,1.54%,4.59%
大廈,139.77,0.38%,1.03%,3.47%
透天厝,129.24,0.75%,2.13%,6.40%
中西區,135.45,0.46%,1.91%,8.69%
安平區,136.18,0.44%,1.24%,4.06%
南區,133.42,0.08%,0.93%,2.16%
北區,136.32,0.59%,1.78%,4.42%
永康區,138.79,0.73%,1.68%,2.39%
安南區,134.96,0.53%,1.82%,8.20%
東區,134.09,0.64%,1.81%,4.13%
仁德區,134.7,-0.51%,0.19%,4.18%
歸仁區,136.28,0.67%,0.67%,3.52%
南科區域,151.32,0.49%,1.87%,7.64%
善化區,157.02,0.52%,2.40%,9.11%
新市區,140.05,0.10%,-0.06%,3.14%
佳里區,133.81,1.14%,1.66%,3.72%
新營區,134.33,0.27%,0.80%,5.39%
